Date,Close,Open,High,Low,Volume,Change %
18-Oct-22,"19,165.00","19,595.00","19,665.00","19,045.00",1.03K,-1.62%
17-Oct-22,"19,480.00","19,170.00","19,635.00","19,095.00",0.54K,1.39%
16-Oct-22,"19,212.50","19,290.00","19,355.00","19,070.00",-,0.54%
14-Oct-22,"19,110.00","19,415.00","19,975.00","19,065.00",14.03K,-1.29%
13-Oct-22,"19,360.00","19,150.00","19,575.00","17,810.00",23.51K,1.39%
12-Oct-22,"19,095.00","18,935.00","19,145.00","18,900.00",5.18K,1.03%
11-Oct-22,"18,900.00","19,165.00","19,225.00","18,760.00",9.23K,-1.18%
10-Oct-22,"19,125.00","19,390.00","19,465.00","19,015.00",7.45K,-1.47%
7-Oct-22,"19,410.00","19,870.00","20,080.00","19,260.00",11.12K,-3.07%
6-Oct-22,"20,025.00","20,085.00","20,515.00","19,870.00",9.20K,-0.57%
5-Oct-22,"20,140.00","20,385.00","20,440.00","19,740.00",9.67K,-0.71%
4-Oct-22,"20,285.00","19,535.00","20,535.00","19,515.00",11.73K,3.89%
3-Oct-22,"19,525.00","19,190.00","19,690.00","18,785.00",12.20K,-0.88%
30-Sep-22,"19,698.60","19,510.00","19,725.00","19,185.00",0.42K,1.51%
29-Sep-22,"19,405.00","19,630.00","19,700.00","18,820.00",10.69K,-0.82%
28-Sep-22,"19,565.00","18,975.00","19,685.00","18,440.00",14.51K,2.73%
27-Sep-22,"19,045.00","19,060.00","20,400.00","18,775.00",18.57K,-0.70%
26-Sep-22,"19,180.00","18,700.00","19,300.00","18,545.00",11.53K,2.29%
25-Sep-22,"18,750.00","18,655.00","18,860.00","18,545.00",-,0.03%
23-Sep-22,"18,745.00","19,200.00","19,495.00","18,455.00",9.16K,-2.85%
22-Sep-22,"19,295.00","18,510.00","19,475.00","18,085.00",9.04K,1.66%
21-Sep-22,"18,980.00","18,880.00","19,885.00","18,670.00",15.36K,0.16%
20-Sep-22,"18,950.00","19,525.00","19,640.00","18,690.00",8.87K,-2.72%
19-Sep-22,"19,480.00","19,490.00","19,620.00","18,195.00",12.24K,0.67%
18-Sep-22,"19,350.00","19,750.00","19,900.00","19,280.00",-,-1.15%
16-Sep-22,"19,575.00","19,750.00","19,865.00","19,275.00",6.56K,-0.79%
15-Sep-22,"19,730.00","20,130.00","20,345.00","19,450.00",7.04K,-0.98%
14-Sep-22,"19,925.00","20,110.00","20,500.00","19,585.00",7.63K,-1.56%
13-Sep-22,"20,240.00","22,390.00","22,875.00","20,050.00",15.36K,-9.86%
